Column Name,Data Type,Description
id,bigint,"Unique id representing a release, compiled_release or record"
contract_index,bigint,Position of contract in contracts array
milestone_index,bigint,Position of milestone in milestone array
release_type,text,"Either release, compiled_release or record. compiled_release are releases generated by kingfisher release compilation"
collection_id,integer,id from kingfisher collection table
ocid,text,ocid from the data
release_id,text,Release id from the data. Relevent for releases and not for compiled_releases or records
data_id,integer,"id for the ""data"" table in kingfisher that holds the original JSON data."
milestone,jsonb,JSONB of milestone object
type,text,`type` from milestone object
code,text,`code` from milestone object
status,text,`status` from milestone object
